id;name;ibu;style;description;alcohol_tenor
1;Shoes foreground;back-end;green Nevada;Agent;Branding Club
2;methodology synergies;Peso Uruguayo Uruguay Peso en Unidades Indexadas;violet;invoice programming Gorgeous Concrete Bike;yellow port Mill
3;Silver;invoice;synergize Outdoors ROI;ubiquitous encompassing;encompassing Lock synthesizing
4;Guinea Franc;Kids;explicit Rand Namibia Dollar;Jewelery hardware invoice;copying grey Future-proofed
5;SMS De-engineered;Bedfordshire;Nuevo Sol withdrawal Course;Unbranded Rubber Keyboard orange;embrace HTTP Technician
6;Generic Granite Chicken Auto Loan Account;Soft;Intelligent Wooden Shirt;digital maximize;Gloves
7;supply-chains;Maryland;Steel;approach;core
8;Intranet instruction set;pixel standardization;engage;HDD Rand Moroccan Dirham;HDD
9;Future-proofed;harness Movies azure;Facilitator Administrator;Money Market Account Grocery;program overriding
10;withdrawal;white Tactics Mission;Decentralized override;markets Buckinghamshire Guinea Franc;Station robust
